X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
16.09286811,45.832289115,124,143,Sesvete,Staro Brestje,Ulica Emanuela Vidovića - istok,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8909524470001,45.8088425080001,125,93,Stenjevec,Malešnica,Ulica Ante Topić - Mimare,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.89135371,45.8086993900001,126,96,Stenjevec,Stenjevec - jug,Park hrvatskih Pavlina,teretana za odrasle,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8895284430001,45.8107101080001,127,97,Stenjevec,Stenjevec - jug,Ulica Ante Topić - Mimare 1B,košarkaško igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8763611680001,45.8110147940001,128,98,Stenjevec,Stenjevec - jug,Samoborska cesta 87,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.87057379,45.8132989010001,129,99,Stenjevec,Stenjevec - jug,Jalovečka ulica 14,"sportsko igralište,dječje igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8878412500001,45.8157657830001,130,90,Podsused - Vrapče,Stenjevec - sjever,"Ulica Side Košutić, zapadno od k.br. 16",vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.885523951,45.8146699540001,131,91,Podsused - Vrapče,Stenjevec - sjever,Crnojezerska ulica,"sportsko igralište 
(mali nogomet)","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8879654240001,45.8162692060001,132,92,Podsused - Vrapče,Stenjevec - sjever,Park Lujze Janović Wagner,"dječje igralište, park za istrčavanje pasa, stolni tenis, šah na travi","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0603328710001,45.8401235210001,133,47,Gornja Dubrava,Studentski grad,"Lovrakova ulica, kod k.br. 9",vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.058193547,45.8420546930001,134,48,Gornja Dubrava,Studentski grad,Međašna ulica,vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.906951484,45.7968304880001,135,100,Stenjevec,Špansko - jug,"Ulica Miroslava Milića 2
",skate park,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.907084949,45.7967127050001,136,101,Stenjevec,Špansko - jug,Ulica Miroslava Milića 2 ,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9086736150001,45.7985201920001,137,102,Stenjevec,Špansko - jug,Ulica Ante Mike Tripala 2,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9065529050001,45.799919232,138,103,Stenjevec,Špansko - jug,POS naselje Špansko Oranice,vježbalište za odrasle,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9031218220001,45.8044791340001,139,104,Stenjevec,Špansko - sjever,Ulica Matije Divkovića 21,košarkaško igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.993572043,45.7689234370001,140,23,Novi Zagreb - istok,Travno,"Ulica Božidara Magovca 10, zapadno od dječjeg vrtića",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
